article_id,banner,pack_size,fiscal_week,start_date,end_date,metrics,comparison,value
12345,dm,each,9,26/02/2024,2/03/2025,sales,focus,91375.426
12345,dm,each,10,4/03/2024,10/03/2024,sales,focus,60754.96133
12345,dm,each,11,11/03/2024,17/03/2024,sales,focus,79340.03434
12345,dm,each,12,18/03/2024,24/03/2024,sales,focus,111528.0497
12345,dm,each,13,25/03/2024,31/03/2024,sales,focus,175056.6823
12345,dm,each,14,1/04/2024,7/04/2024,sales,focus,68245.99857
12345,dm,each,15,8/04/2024,14/04/2024,sales,focus,22063.79037
12345,dm,each,16,15/04/2024,21/04/2024,sales,focus,20065.75856
12345,dm,each,17,22/04/2024,28/04/2024,sales,focus,22310.54549
12345,dm,each,18,29/04/2024,5/05/2024,sales,focus,98726.23337
12345,dm,each,19,6/05/2024,12/05/2024,sales,focus,145549.0006
12345,dm,each,20,13/05/2024,19/05/2024,sales,focus,169199.2547
12345,dm,each,21,20/05/2024,26/05/2024,sales,focus,227181.5625
12345,dm,each,22,27/05/2024,2/06/2024,sales,focus,70462.16923
12345,dm,each,23,3/06/2024,9/06/2024,sales,focus,20061.39675
12345,dm,each,24,10/06/2024,16/06/2024,sales,focus,18166.91895
12345,dm,each,25,17/06/2024,23/06/2024,sales,focus,18415.43821
12345,dm,each,26,24/06/2024,30/06/2024,sales,focus,19613.48134
12345,dm,each,27,1/07/2024,7/07/2024,sales,focus,0
12345,dm,each,28,8/07/2024,14/07/2024,sales,focus,0
12345,dm,each,29,15/07/2024,21/07/2024,sales,focus,0
12345,dm,each,30,22/07/2024,28/07/2024,sales,focus,0
12345,dm,each,31,29/07/2024,4/08/2024,sales,focus,0
12345,dm,each,32,5/08/2024,11/08/2024,sales,focus,107801.0656
12345,dm,each,33,12/08/2024,18/08/2024,sales,focus,120701.5809
12345,dm,each,34,19/08/2024,25/08/2024,sales,focus,106140.7924
12345,dm,each,35,26/08/2024,1/09/2024,sales,focus,112456.3622
12345,dm,each,36,2/09/2024,8/09/2024,sales,focus,89674.62879
12345,dm,each,37,9/09/2024,15/09/2024,sales,focus,32087.5469
12345,dm,each,38,16/09/2024,22/09/2024,sales,focus,19463.0265
12345,dm,each,39,23/09/2024,29/09/2024,sales,focus,23823.9403
12345,dm,each,40,30/09/2024,6/10/2024,sales,focus,22958.39989
12345,dm,each,41,7/10/2024,13/10/2024,sales,focus,20375.53071
12345,dm,each,42,14/10/2024,20/10/2024,sales,focus,19398.88715
12345,dm,each,43,21/10/2024,27/10/2024,sales,focus,41053.84131
12345,dm,each,44,28/10/2024,3/11/2024,sales,focus,50166.77018
12345,dm,each,45,4/11/2024,10/11/2024,sales,focus,116918.8226
12345,dm,each,46,11/11/2024,17/11/2024,sales,focus,132585.3924
12345,dm,each,47,18/11/2024,24/11/2024,sales,focus,117271.7082
12345,dm,each,48,25/11/2024,1/12/2024,sales,focus,120871.5855
12345,dm,each,49,2/12/2024,8/12/2024,sales,focus,43486.13489
12345,dm,each,50,9/12/2024,15/12/2024,sales,focus,25505.38974
12345,dm,each,51,16/12/2024,22/12/2024,sales,focus,35181.6577
12345,dm,each,52,23/12/2024,29/12/2024,sales,focus,29580.31724
12345,dm,each,53,30/12/2024,31/12/2024,sales,focus,8881.281775
12345,dm,each,1,1/01/2025,5/01/2025,sales,focus,10440.1394
12345,dm,each,2,6/01/2025,12/01/2025,sales,focus,58549.17951
12345,dm,each,3,13/01/2025,19/01/2025,sales,focus,76321.34326
12345,dm,each,4,20/01/2025,26/01/2025,sales,focus,85593.66261
12345,dm,each,5,27/01/2025,2/02/2025,sales,focus,104959.467
12345,dm,each,6,3/02/2025,9/02/2025,sales,focus,62033.08855
12345,dm,each,7,10/02/2025,16/02/2025,sales,focus,58479.49042
12345,dm,each,8,17/02/2025,23/02/2025,sales,focus,57121.78411
12345,dm,each,18,29/04/2024,5/05/2024,sales,comparison,78246.70608
12345,dm,each,19,6/05/2024,12/05/2024,sales,comparison,73579.92998
12345,dm,each,20,13/05/2024,19/05/2024,sales,comparison,75556.21378
12345,dm,each,21,20/05/2024,26/05/2024,sales,comparison,66368.27142
12345,dm,each,22,27/05/2024,2/06/2024,sales,comparison,54043.34252
12345,dm,each,23,3/06/2024,9/06/2024,sales,comparison,69272.66549
12345,dm,each,24,10/06/2024,16/06/2024,sales,comparison,60752.47085
12345,dm,each,25,17/06/2024,23/06/2024,sales,comparison,61965.6837
12345,dm,each,26,24/06/2024,30/06/2024,sales,comparison,84785.78986
12345,dm,each,27,1/07/2024,7/07/2024,sales,comparison,64455.96694
12345,dm,each,28,8/07/2024,14/07/2024,sales,comparison,33977.04346
12345,dm,each,29,15/07/2024,21/07/2024,sales,comparison,77888.8488
12345,dm,each,30,22/07/2024,28/07/2024,sales,comparison,113359.8162
12345,dm,each,31,29/07/2024,4/08/2024,sales,comparison,112513.9892
12345,dm,each,32,5/08/2024,11/08/2024,sales,comparison,103961.7581
12345,dm,each,33,12/08/2024,18/08/2024,sales,comparison,111795.559
12345,dm,each,34,19/08/2024,25/08/2024,sales,comparison,112621.3423
12345,dm,each,35,26/08/2024,1/09/2024,sales,comparison,130148.925
12345,dm,each,36,2/09/2024,8/09/2024,sales,comparison,68407.31281
12345,dm,each,37,9/09/2024,15/09/2024,sales,comparison,61324.46869
12345,dm,each,38,16/09/2024,22/09/2024,sales,comparison,153813.8367
12345,dm,each,39,23/09/2024,29/09/2024,sales,comparison,48549.45854
12345,dm,each,40,30/09/2024,6/10/2024,sales,comparison,45968.56408
12345,dm,each,41,7/10/2024,13/10/2024,sales,comparison,127581.0051
12345,dm,each,42,14/10/2024,20/10/2024,sales,comparison,125014.0025
12345,dm,each,43,21/10/2024,27/10/2024,sales,comparison,129088.405
12345,dm,each,44,28/10/2024,3/11/2024,sales,comparison,207858.2011
12345,dm,each,45,4/11/2024,10/11/2024,sales,comparison,207533.6681
12345,dm,each,46,11/11/2024,17/11/2024,sales,comparison,230746.7479
12345,dm,each,47,18/11/2024,24/11/2024,sales,comparison,225304.7324
12345,dm,each,48,25/11/2024,1/12/2024,sales,comparison,151041.0108
12345,dm,each,49,2/12/2024,8/12/2024,sales,comparison,150273.6705
12345,dm,each,50,9/12/2024,15/12/2024,sales,comparison,152581.4487
12345,dm,each,51,16/12/2024,22/12/2024,sales,comparison,162100.3556
12345,dm,each,52,23/12/2024,29/12/2024,sales,comparison,90572.06992
12345,dm,each,53,30/12/2024,31/12/2024,sales,comparison,10696.22334
12345,dm,each,9,26/02/2024,2/03/2025,asp,focus,17.85984035
12345,dm,each,10,4/03/2024,10/03/2024,asp,focus,15.74498384
12345,dm,each,11,11/03/2024,17/03/2024,asp,focus,16.07286802
12345,dm,each,12,18/03/2024,24/03/2024,asp,focus,14.36065319
12345,dm,each,13,25/03/2024,31/03/2024,asp,focus,14.91947256
12345,dm,each,14,1/04/2024,7/04/2024,asp,focus,15.67692432
12345,dm,each,15,8/04/2024,14/04/2024,asp,focus,18.87401085
12345,dm,each,16,15/04/2024,21/04/2024,asp,focus,18.73403315
12345,dm,each,17,22/04/2024,28/04/2024,asp,focus,21.04247587
12345,dm,each,18,29/04/2024,5/05/2024,asp,focus,16.21746396
12345,dm,each,19,6/05/2024,12/05/2024,asp,focus,13.81690473
12345,dm,each,20,13/05/2024,19/05/2024,asp,focus,15.06393438
12345,dm,each,21,20/05/2024,26/05/2024,asp,focus,13.77405663
12345,dm,each,22,27/05/2024,2/06/2024,asp,focus,15.97056862
12345,dm,each,23,3/06/2024,9/06/2024,asp,focus,17.85819177
12345,dm,each,24,10/06/2024,16/06/2024,asp,focus,18.15518956
12345,dm,each,25,17/06/2024,23/06/2024,asp,focus,18.10157869
12345,dm,each,26,24/06/2024,30/06/2024,asp,focus,20.25743035
12345,dm,each,27,1/07/2024,7/07/2024,asp,focus,NA
12345,dm,each,28,8/07/2024,14/07/2024,asp,focus,NA
12345,dm,each,29,15/07/2024,21/07/2024,asp,focus,NA
12345,dm,each,30,22/07/2024,28/07/2024,asp,focus,NA
12345,dm,each,31,29/07/2024,4/08/2024,asp,focus,NA
12345,dm,each,32,5/08/2024,11/08/2024,asp,focus,14.6917444
12345,dm,each,33,12/08/2024,18/08/2024,asp,focus,14.43754695
12345,dm,each,34,19/08/2024,25/08/2024,asp,focus,15.33324265
12345,dm,each,35,26/08/2024,1/09/2024,asp,focus,15.3039637
12345,dm,each,36,2/09/2024,8/09/2024,asp,focus,15.6491114
12345,dm,each,37,9/09/2024,15/09/2024,asp,focus,18.63067249
12345,dm,each,38,16/09/2024,22/09/2024,asp,focus,19.28159932
12345,dm,each,39,23/09/2024,29/09/2024,asp,focus,17.74584951
